CD_REFNIS,CD_SUP_REFNIS,TX_REFNIS_NL,Huizen_totaal_2025,Flatgebouwen_2025,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename,Woningen_Nieuwbouw_2019sep-2022aug,Woningen_Nieuwbouw_2022sep-2025aug,Woningen_Nieuwbouw_pct_verschil_36m,Gebouwen_Renovatie_2019sep-2022aug,Gebouwen_Renovatie_2022sep-2025aug,Gebouwen_Renovatie_pct_verschil_36m
23002,23000,Asse,9479,892,6.7,12.02,18.99,5.21,282,524,398,185,752.0,453.0,-39.76,307.0,201.0,-34.53
23003,23000,Beersel,9228,298,11.41,8.66,17.98,7.72,291,282,293,224,366.0,119.0,-67.49,323.0,199.0,-38.39
23009,23000,Bever,905,9,-6.15,18.02,15.5,-18.75,-15,60,20,-39,77.0,21.0,-72.73,39.0,29.0,-25.64
23016,23000,Dilbeek,13334,1046,11.92,6.62,7.85,9.74,653,377,218,424,721.0,275.0,-61.86,371.0,262.0,-29.38
23023,23000,Galmaarden,0,0,6.81,11.99,-1.67,4.96,65,155,-10,40,,,,,,
23024,23000,Gooik,0,0,11.63,0.43,-1.37,-7.09,125,6,-8,-59,,,,,,
23025,23000,Grimbergen,10648,1153,7.41,12.45,8.89,5.51,412,605,216,210,574.0,227.0,-60.45,382.0,217.0,-43.19
23027,23000,Halle (Halle-Vilvoorde),12369,1123,13.34,10.33,16.22,13.65,812,579,433,529,617.0,330.0,-46.52,442.0,370.0,-16.29
23032,23000,Herne,0,0,-0.54,2.95,16.25,2.87,-4,28,71,18,,,,,,
23033,23000,Hoeilaart,3930,139,5.92,4.98,12.11,3.27,77,69,89,40,202.0,174.0,-13.86,173.0,125.0,-27.75
23038,23000,Kampenhout,4500,153,3.7,7.24,7.65,4.88,48,125,64,58,259.0,197.0,-23.94,149.0,107.0,-28.19
23039,23000,Kapelle-op-den-Bos,3338,217,5.27,3.55,1.9,12.13,70,50,12,98,135.0,107.0,-20.74,98.0,81.0,-17.35
23044,23000,Liedekerke,4622,273,8.18,6.23,11.0,14.73,137,123,92,185,230.0,107.0,-53.48,98.0,68.0,-30.61
23045,23000,Londerzeel,6740,419,14.33,0.59,9.39,11.38,349,17,109,200,393.0,355.0,-9.67,246.0,166.0,-32.52
23047,23000,Machelen (Halle-Vilvoorde),4071,379,-0.99,18.77,23.3,4.4,-16,294,219,84,330.0,253.0,-23.33,145.0,188.0,29.66
23050,23000,Meise,6788,360,12.42,10.05,3.99,12.93,304,285,50,243,384.0,229.0,-40.36,228.0,153.0,-32.89
23052,23000,Merchtem,5438,436,13.81,4.5,8.48,14.91,357,115,89,237,584.0,300.0,-48.63,195.0,142.0,-27.18
23060,23000,Opwijk,4979,312,8.88,5.65,15.81,0.34,159,113,138,5,330.0,201.0,-39.09,161.0,101.0,-37.27
23062,23000,Overijse,9253,288,-0.04,5.27,9.41,1.05,-1,169,152,28,438.0,126.0,-71.23,348.0,223.0,-35.92
23064,23000,Pepingen,1663,29,10.42,5.73,-1.97,-8.97,42,34,-6,-40,73.0,31.0,-57.53,70.0,50.0,-28.57
23077,23000,Sint-Pieters-Leeuw,10247,764,5.19,18.26,15.1,7.09,206,798,344,263,527.0,122.0,-76.85,312.0,187.0,-40.06
23081,23000,Steenokkerzeel,4452,148,12.62,8.06,22.72,7.83,168,137,177,101,157.0,45.0,-71.34,150.0,106.0,-29.33
23086,23000,Ternat,5914,236,13.07,3.49,10.5,13.59,253,81,109,213,282.0,237.0,-15.96,212.0,132.0,-37.74
23088,23000,Vilvoorde,11578,1062,12.15,20.23,23.55,13.31,639,983,675,696,677.0,447.0,-33.97,372.0,272.0,-26.88
23094,23000,Zaventem,9526,875,4.95,5.42,21.75,15.67,231,214,508,610,668.0,306.0,-54.19,300.0,186.0,-38.0
23096,23000,Zemst,8774,248,8.54,-5.77,3.69,-4.46,200,-198,51,-100,214.0,180.0,-15.89,339.0,218.0,-35.69
23097,23000,Roosdaal,4449,135,14.08,5.33,0.39,0.36,176,90,3,4,279.0,180.0,-35.48,127.0,99.0,-22.05
23098,23000,Drogenbos,1270,234,15.09,36.25,25.74,16.87,120,253,105,99,32.0,11.0,-65.62,53.0,36.0,-32.08
23099,23000,Kraainem,4300,237,-7.81,-0.36,23.72,-1.84,-128,-5,199,-29,117.0,271.0,131.62,230.0,149.0,-35.22
23100,23000,Linkebeek,1624,72,-14.06,6.51,-10.03,-1.91,-89,38,-32,-8,18.0,10.0,-44.44,72.0,65.0,-9.72
23101,23000,Sint-Genesius-Rode,6483,250,1.02,0.66,9.69,4.2,20,14,115,85,238.0,117.0,-50.84,282.0,220.0,-21.99
23102,23000,Wemmel,4307,500,8.1,15.88,21.35,13.95,174,329,247,259,244.0,83.0,-65.98,185.0,147.0,-20.54
23103,23000,Wezembeek-Oppem,4563,168,4.14,-6.49,14.48,1.99,71,-105,129,31,131.0,83.0,-36.64,205.0,159.0,-22.44
23104,23000,Lennik,3211,190,0.73,3.47,6.75,10.85,7,48,40,89,217.0,296.0,36.41,150.0,102.0,-32.0
23105,23000,Affligem,5059,135,1.92,4.69,8.74,5.6,26,91,72,73,305.0,83.0,-72.79,162.0,89.0,-45.06
