CD_REFNIS,CD_SUP_REFNIS,TX_REFNIS_NL,Woningen_Nieuwbouw_2024_jan-aug,Woningen_Nieuwbouw_2025_jan-aug,Woningen_Nieuwbouw_pct_verschil,Gebouwen_Renovatie_2024_jan-aug,Gebouwen_Renovatie_2025_jan-aug,Gebouwen_Renovatie_pct_verschil,Huizen_totaal_2025,Flatgebouwen_2025,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename
23002,23000,Asse,56.0,138.0,146.43,47.0,38.0,-19.15,9479,892,6.7,12.02,18.99,5.21,282,524,398,185
23003,23000,Beersel,42.0,8.0,-80.95,54.0,28.0,-48.15,9228,298,11.41,8.66,17.98,7.72,291,282,293,224
23009,23000,Bever,6.0,3.0,-50.0,2.0,5.0,150.0,905,9,-6.15,18.02,15.5,-18.75,-15,60,20,-39
23016,23000,Dilbeek,42.0,32.0,-23.81,62.0,42.0,-32.26,13334,1046,11.92,6.62,7.85,9.74,653,377,218,424
23023,23000,Galmaarden,0.0,0.0,,0.0,0.0,,0,0,6.81,11.99,-1.67,4.96,65,155,-10,40
23024,23000,Gooik,0.0,0.0,,0.0,0.0,,0,0,11.63,0.43,-1.37,-7.09,125,6,-8,-59
23025,23000,Grimbergen,61.0,33.0,-45.9,55.0,48.0,-12.73,10648,1153,7.41,12.45,8.89,5.51,412,605,216,210
23027,23000,Halle (Halle-Vilvoorde),40.0,22.0,-45.0,154.0,60.0,-61.04,12369,1123,13.34,10.33,16.22,13.65,812,579,433,529
23032,23000,Herne,0.0,0.0,,0.0,0.0,,0,0,-0.54,2.95,16.25,2.87,-4,28,71,18
23033,23000,Hoeilaart,14.0,29.0,107.14,29.0,32.0,10.34,3930,139,5.92,4.98,12.11,3.27,77,69,89,40
23038,23000,Kampenhout,28.0,57.0,103.57,23.0,17.0,-26.09,4500,153,3.7,7.24,7.65,4.88,48,125,64,58
23039,23000,Kapelle-op-den-Bos,57.0,9.0,-84.21,26.0,19.0,-26.92,3338,217,5.27,3.55,1.9,12.13,70,50,12,98
23044,23000,Liedekerke,4.0,21.0,425.0,20.0,18.0,-10.0,4622,273,8.18,6.23,11.0,14.73,137,123,92,185
23045,23000,Londerzeel,32.0,43.0,34.38,27.0,29.0,7.41,6740,419,14.33,0.59,9.39,11.38,349,17,109,200
23047,23000,Machelen (Halle-Vilvoorde),41.0,7.0,-82.93,17.0,23.0,35.29,4071,379,-0.99,18.77,23.3,4.4,-16,294,219,84
23050,23000,Meise,71.0,23.0,-67.61,25.0,32.0,28.0,6788,360,12.42,10.05,3.99,12.93,304,285,50,243
23052,23000,Merchtem,25.0,52.0,108.0,34.0,29.0,-14.71,5438,436,13.81,4.5,8.48,14.91,357,115,89,237
23060,23000,Opwijk,40.0,101.0,152.5,23.0,24.0,4.35,4979,312,8.88,5.65,15.81,0.34,159,113,138,5
23062,23000,Overijse,12.0,15.0,25.0,49.0,41.0,-16.33,9253,288,-0.04,5.27,9.41,1.05,-1,169,152,28
23064,23000,Pepingen,7.0,4.0,-42.86,10.0,9.0,-10.0,1663,29,10.42,5.73,-1.97,-8.97,42,34,-6,-40
23077,23000,Sint-Pieters-Leeuw,14.0,43.0,207.14,30.0,44.0,46.67,10247,764,5.19,18.26,15.1,7.09,206,798,344,263
23081,23000,Steenokkerzeel,8.0,10.0,25.0,27.0,12.0,-55.56,4452,148,12.62,8.06,22.72,7.83,168,137,177,101
23086,23000,Ternat,17.0,43.0,152.94,31.0,25.0,-19.35,5914,236,13.07,3.49,10.5,13.59,253,81,109,213
23088,23000,Vilvoorde,51.0,70.0,37.25,58.0,57.0,-1.72,11578,1062,12.15,20.23,23.55,13.31,639,983,675,696
23094,23000,Zaventem,46.0,60.0,30.43,40.0,38.0,-5.0,9526,875,4.95,5.42,21.75,15.67,231,214,508,610
23096,23000,Zemst,55.0,26.0,-52.73,61.0,37.0,-39.34,8774,248,8.54,-5.77,3.69,-4.46,200,-198,51,-100
23097,23000,Roosdaal,46.0,35.0,-23.91,21.0,23.0,9.52,4449,135,14.08,5.33,0.39,0.36,176,90,3,4
23098,23000,Drogenbos,3.0,2.0,-33.33,9.0,9.0,0.0,1270,234,15.09,36.25,25.74,16.87,120,253,105,99
23099,23000,Kraainem,11.0,15.0,36.36,34.0,27.0,-20.59,4300,237,-7.81,-0.36,23.72,-1.84,-128,-5,199,-29
23100,23000,Linkebeek,4.0,0.0,-100.0,20.0,10.0,-50.0,1624,72,-14.06,6.51,-10.03,-1.91,-89,38,-32,-8
23101,23000,Sint-Genesius-Rode,40.0,8.0,-80.0,44.0,54.0,22.73,6483,250,1.02,0.66,9.69,4.2,20,14,115,85
23102,23000,Wemmel,11.0,16.0,45.45,29.0,22.0,-24.14,4307,500,8.1,15.88,21.35,13.95,174,329,247,259
23103,23000,Wezembeek-Oppem,18.0,12.0,-33.33,35.0,36.0,2.86,4563,168,4.14,-6.49,14.48,1.99,71,-105,129,31
23104,23000,Lennik,118.0,61.0,-48.31,18.0,16.0,-11.11,3211,190,0.73,3.47,6.75,10.85,7,48,40,89
23105,23000,Affligem,12.0,15.0,25.0,20.0,13.0,-35.0,5059,135,1.92,4.69,8.74,5.6,26,91,72,73
